season,mechanism,alpha,n_sims,n_finalists,top_judge_final,champion_mode,champion_mode_prob,champion_entropy,tpi_mean,fan_influence_rate,robust_fail_rate,outlier_mult
20,rank,0.5,50,3,Riker Lynch,Riker Lynch,0.56,0.9217521515075082,0.75,0.66,0.46,10.0
20,percent_judge_save,0.5,50,3,Riker Lynch,Riker Lynch,0.56,1.2171168436983584,0.6306818181818182,0.82,0.58,10.0
20,percent_sqrt,0.5,50,3,Riker Lynch,Rumer Willis,0.52,1.2361397298349386,0.6521739130434783,0.48,0.82,10.0
20,percent_log,0.5,50,3,Riker Lynch,Riker Lynch,0.36,1.171845721138134,0.5051020408163265,0.7,0.64,10.0
20,dynamic_weight,0.5,50,3,Riker Lynch,Rumer Willis,0.38,1.2643594546810726,0.5904255319148937,0.62,0.74,10.0
20,percent_cap,0.5,50,3,Riker Lynch,Riker Lynch,0.46,1.1838398909951469,0.6223404255319149,0.68,0.72,10.0
21,percent,0.5,50,4,Bindi Irwin,Bindi Irwin,0.46,1.0458861105228145,0.5333333333333335,0.54,0.64,10.0
21,rank,0.5,50,4,Bindi Irwin,Bindi Irwin,0.68,0.7812942784290702,0.6666666666666667,0.32,0.28,10.0
21,percent_judge_save,0.5,50,4,Bindi Irwin,Nick Carter,0.38,1.3717779421956602,0.6111111111111113,0.68,0.56,10.0
21,percent_sqrt,0.5,50,4,Bindi Irwin,Bindi Irwin,0.36,1.3367355048700686,0.4583333333333333,0.64,0.74,10.0
21,percent_log,0.5,50,4,Bindi Irwin,Bindi Irwin,0.36,1.3547627384636636,0.47619047619047633,0.64,0.86,10.0
21,dynamic_weight,0.5,50,4,Bindi Irwin,Bindi Irwin,0.38,1.1629568234257857,0.4933333333333334,0.62,0.64,10.0
21,percent_cap,0.5,50,4,Bindi Irwin,Bindi Irwin,0.44,1.286594517739319,0.5306122448979592,0.56,0.74,10.0
22,percent,0.5,50,3,Paige VanZant,Nyle DiMarco,0.4,1.2772115525043688,0.5319148936170213,0.7,0.88,10.0
22,rank,0.5,50,3,Paige VanZant,Paige VanZant,0.66,0.7170996237435391,0.82,0.34,0.54,10.0
22,percent_judge_save,0.5,50,3,Paige VanZant,Nyle DiMarco,0.38,1.2334660604166652,0.5520833333333334,0.66,0.82,10.0
22,percent_sqrt,0.5,50,3,Paige VanZant,Ginger Zee,0.36,1.2466590519242007,0.46875,0.7,0.82,10.0
22,percent_log,0.5,50,3,Paige VanZant,Ginger Zee,0.38,1.274580809127746,0.4148936170212766,0.78,0.78,10.0
